date,merchant,amount,type
2025-09-26,Ajio,1054,Debit
2025-09-26,Pharmacy,820,Debit
2025-09-26,Swiggy,720,Debit
2025-09-27,Myntra,663,Debit
2025-09-28,McDonald's,219,Debit
2025-09-28,Rapido,101,Debit
2025-09-29,Google Play,226,Debit
2025-09-29,McDonald's,251,Debit
2025-09-30,McDonald's,298,Debit
2025-10-01,Ajio,1503,Debit
2025-10-01,Salary,48000,Credit
2025-10-01,Uber,444,Debit
2025-10-02,McDonald's,401,Debit
2025-10-02,Ola,153,Debit
2025-10-03,Rapido,79,Debit
2025-10-03,Swiggy,264,Debit
2025-10-04,Domino's,626,Debit
2025-10-04,Domino's,805,Debit
2025-10-04,Uber,215,Debit
2025-10-05,Ajio,1293,Debit
2025-10-05,Netflix,649,Debit
2025-10-05,Starbucks,267,Debit
2025-10-05,Starbucks,386,Debit
2025-10-06,BigBasket,1240,Debit
2025-10-06,Myntra,2618,Debit
2025-10-06,Spotify,119,Debit
2025-10-06,Uber,191,Debit
2025-10-06,Zomato,785,Debit
2025-10-07,Domino's,845,Debit
2025-10-07,Hotstar,299,Debit
2025-10-08,Airtel,999,Debit
2025-10-08,Amazon,3540,Debit
2025-10-08,Ola,164,Debit
2025-10-09,Domino's,800,Debit
2025-10-09,Jio,399,Debit
2025-10-09,Rapido,74,Debit
2025-10-10,McDonald's,340,Debit
2025-10-10,Ola,259,Debit
2025-10-10,Prime,1499,Debit
2025-10-11,BookMyShow,827,Debit
2025-10-11,Ola,528,Debit
2025-10-12,Electricity,2498,Debit
2025-10-12,Starbucks,233,Debit
2025-10-13,BESCOM,1727,Debit
2025-10-13,Uber Eats,290,Debit
2025-10-14,ATM Withdrawal,4425,Debit
2025-10-14,Rapido,148,Debit
2025-10-14,Uber Eats,530,Debit
2025-10-15,Starbucks,479,Debit
2025-10-16,Domino's,899,Debit
2025-10-16,Myntra,1280,Debit
2025-10-16,Uber,513,Debit
2025-10-17,Uber Eats,629,Debit
2025-10-18,BookMyShow,633,Debit
2025-10-18,Uber Eats,751,Debit
2025-10-18,Zomato,722,Debit
2025-10-19,Ajio,2384,Debit
2025-10-19,Google Play,121,Debit
2025-10-19,Starbucks,297,Debit
2025-10-19,Uber,367,Debit
2025-10-20,Domino's,816,Debit
2025-10-21,Myntra,1046,Debit
2025-10-21,Rapido,69,Debit
2025-10-21,Uber Eats,683,Debit
2025-10-22,Ola,396,Debit
2025-10-22,Uber Eats,469,Debit
2025-10-23,Ola,124,Debit
2025-10-23,Rapido,150,Debit
2025-10-24,McDonald's,379,Debit
2025-10-24,Ola,495,Debit
2025-10-24,Rapido,56,Debit
2025-10-25,Swiggy,448,Debit
2025-10-25,Zomato,668,Debit
2025-10-26,Domino's,818,Debit
2025-10-26,Swiggy,536,Debit
2025-10-27,Ajio,1355,Debit
2025-10-27,Ola,465,Debit
2025-10-27,Swiggy,317,Debit
2025-10-27,Uber,213,Debit
2025-10-28,McDonald's,275,Debit
2025-10-28,Rapido,84,Debit
2025-10-29,Ajio,1649,Debit
2025-10-29,Domino's,811,Debit
2025-10-29,Uber,368,Debit
2025-10-30,Amazon,2105,Debit
2025-10-30,Ola,195,Debit
2025-10-30,Uber Eats,723,Debit
2025-10-31,Pharmacy,394,Debit
2025-10-31,Rapido,166,Debit
2025-10-31,Starbucks,367,Debit
2025-11-01,Ajio,1617,Debit
2025-11-01,BookMyShow,685,Debit
2025-11-01,Domino's,905,Debit
2025-11-01,Google Play,433,Debit
2025-11-01,Salary,55000,Credit
2025-11-02,BookMyShow,1081,Debit
2025-11-02,Swiggy,640,Debit
2025-11-02,Uber,344,Debit
2025-11-03,Flipkart,3613,Debit
2025-11-03,Rapido,149,Debit
2025-11-04,Rapido,83,Debit
2025-11-04,Swiggy,763,Debit
2025-11-05,Domino's,876,Debit
2025-11-05,Netflix,649,Debit
2025-11-05,Petrol Pump,2381,Debit
2025-11-06,Domino's,479,Debit
2025-11-06,Flipkart,3312,Debit
2025-11-06,Spotify,119,Debit
2025-11-07,Hotstar,299,Debit
2025-11-07,Ola,431,Debit
2025-11-07,Uber Eats,622,Debit
2025-11-08,Airtel,599,Debit
2025-11-08,Myntra,2461,Debit
2025-11-08,Swiggy,592,Debit
2025-11-09,Jio,599,Debit
2025-11-09,Uber Eats,315,Debit
2025-11-10,Myntra,1982,Debit
2025-11-10,Starbucks,423,Debit
2025-11-10,Uber,373,Debit
2025-11-11,Google Play,450,Debit
2025-11-11,McDonald's,355,Debit
2025-11-12,Electricity,2000,Debit
2025-11-12,Uber,345,Debit
2025-11-13,Uber Eats,355,Debit
2025-11-14,Uber,310,Debit
2025-11-15,Amazon,307,Debit
2025-11-15,BigBasket,1413,Debit
2025-11-15,BookMyShow,329,Debit
2025-11-15,Uber Eats,459,Debit
2025-11-16,BookMyShow,341,Debit
2025-11-16,Swiggy,612,Debit
2025-11-16,Uber Eats,571,Debit
2025-11-17,Domino's,726,Debit
2025-11-17,Flipkart,3026,Debit
2025-11-18,Ola,479,Debit
2025-11-18,Refund,1487,Credit
2025-11-18,Starbucks,224,Debit
2025-11-18,Uber,441,Debit
2025-11-19,McDonald's,291,Debit
2025-11-19,Rapido,138,Debit
2025-11-19,Uber,421,Debit
2025-11-20,Uber,403,Debit
2025-11-21,Uber Eats,247,Debit
2025-11-22,Uber,521,Debit
2025-11-22,Uber Eats,621,Debit
2025-11-23,Starbucks,256,Debit
2025-11-24,Amazon,411,Debit
2025-11-24,Ola,504,Debit
2025-11-24,Starbucks,435,Debit
2025-11-25,Rapido,146,Debit
2025-11-25,Swiggy,587,Debit
2025-11-26,DMart,2000,Debit
2025-11-26,Rapido,92,Debit
2025-11-26,Starbucks,298,Debit
2025-11-27,Ajio,736,Debit
2025-11-27,Uber,149,Debit
2025-11-27,Uber Eats,287,Debit
2025-11-28,Domino's,529,Debit
2025-11-28,Myntra,2741,Debit
2025-11-28,Rapido,42,Debit
2025-11-29,Amazon,3043,Debit
2025-11-29,Domino's,479,Debit
2025-11-29,Uber Eats,495,Debit
2025-11-30,BookMyShow,1129,Debit
2025-11-30,Starbucks,259,Debit
2025-12-01,Domino's,455,Debit
2025-12-01,Google Play,309,Debit
2025-12-01,Salary,52000,Credit
2025-12-02,Swiggy,430,Debit
2025-12-02,Uber,211,Debit
2025-12-03,Myntra,1088,Debit
2025-12-03,Ola,532,Debit
2025-12-03,Rapido,121,Debit
2025-12-03,Uber Eats,649,Debit
2025-12-04,Uber,608,Debit
2025-12-05,Netflix,649,Debit
2025-12-05,Petrol Pump,516,Debit
2025-12-06,Domino's,598,Debit
2025-12-06,McDonald's,368,Debit
2025-12-06,Spotify,119,Debit
2025-12-07,BookMyShow,604,Debit
2025-12-07,Hotstar,299,Debit
2025-12-07,Uber,597,Debit
2025-12-08,Airtel,999,Debit
2025-12-08,Flipkart,2118,Debit
2025-12-08,Rapido,118,Debit
2025-12-08,Swiggy,523,Debit
2025-12-09,Jio,239,Debit
2025-12-09,Rapido,145,Debit
2025-12-09,Zomato,486,Debit
2025-12-10,Google Play,115,Debit
2025-12-10,Ola,148,Debit
2025-12-10,Uber,446,Debit
2025-12-11,Domino's,672,Debit
2025-12-12,Electricity,1542,Debit
2025-12-12,McDonald's,319,Debit
2025-12-12,Pharmacy,288,Debit
2025-12-12,Uber,519,Debit
2025-12-13,BESCOM,1646,Debit
2025-12-13,Domino's,562,Debit
2025-12-13,Google Play,204,Debit
2025-12-13,Swiggy,728,Debit
2025-12-14,BookMyShow,504,Debit
2025-12-14,Swiggy,400,Debit
2025-12-15,BSNL,499,Debit
2025-12-15,Swiggy,486,Debit
2025-12-15,Uber,607,Debit
2025-12-16,Flipkart,934,Debit
2025-12-16,Uber,182,Debit
2025-12-17,Uber,131,Debit
2025-12-17,Uber Eats,306,Debit
2025-12-18,Zomato,294,Debit
2025-12-19,McDonald's,205,Debit
2025-12-19,Rapido,141,Debit
2025-12-20,BookMyShow,671,Debit
2025-12-20,Domino's,806,Debit
2025-12-20,Flipkart,3050,Debit
2025-12-20,IRCTC,1733,Debit
2025-12-20,Zomato,481,Debit
2025-12-21,BookMyShow,1071,Debit
2025-12-21,McDonald's,250,Debit
2025-12-21,McDonald's,282,Debit
2025-12-22,McDonald's,363,Debit
2025-12-22,Ola,577,Debit
2025-12-23,Ola,139,Debit
2025-12-23,Ola,381,Debit
2025-12-23,Swiggy,506,Debit
2025-12-24,Rapido,54,Debit
2025-12-24,Uber,414,Debit
2025-12-24,Zomato,302,Debit
2025-12-25,Google Play,229,Debit
2025-12-25,Rapido,131,Debit
2025-12-25,Zomato,380,Debit
2025-12-26,Uber,548,Debit
2025-12-27,BookMyShow,1189,Debit
2025-12-27,McDonald's,199,Debit
2025-12-27,Swiggy,237,Debit
2025-12-27,Uber,130,Debit
2025-12-28,Rapido,76,Debit
2025-12-28,Swiggy,202,Debit
2025-12-28,Zomato,531,Debit
2025-12-29,BigBasket,1849,Debit
2025-12-29,Myntra,1920,Debit
2025-12-29,Ola,410,Debit
2025-12-31,Starbucks,402,Debit
2025-12-31,Uber,313,Debit
